Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method,Year,Month,Quarter,Profit_Margin_%
West Gear,1128299,2021-09-18,South,Louisiana,New Orleans,Men's Street Footwear,43.0,145.0,624.0,343.0,Online,2021,9,3,54.96794871794872
Sports Direct,1185732,2021-12-06,Northeast,Rhode Island,Providence,Women's Street Footwear,40.0,88.0,352.0,165.0,Outlet,2021,12,4,46.875
Sports Direct,1197831,2021-08-08,West,Idaho,Boise,Men's Apparel,55.0,475.0,26125.0,9144.0,Online,2021,8,3,35.000956937799046
Sports Direct,1197831,2021-10-11,South,Texas,Dallas,Men's Athletic Footwear,27.0,218.0,589.0,265.0,Outlet,2021,10,4,44.99151103565365
West Gear,1185732,2021-08-09,Northeast,New York,Albany,Women's Apparel,60.0,725.0,43500.0,21750.0,In-store,2021,8,3,50.0
Sports Direct,1185732,2021-08-14,Northeast,Massachusetts,Boston,Men's Athletic Footwear,47.0,88.0,414.0,170.0,Online,2021,8,3,41.06280193236715
West Gear,1185732,2021-01-11,Midwest,Missouri,St. Louis,Women's Apparel,24.0,138.0,331.0,212.0,Online,2021,1,1,64.04833836858006
West Gear,1197831,2021-10-21,South,Oklahoma,Oklahoma City,Men's Street Footwear,29.0,137.0,397.0,215.0,Online,2021,10,4,54.15617128463476
West Gear,1128299,2021-09-25,West,Oregon,Portland,Women's Athletic Footwear,50.0,200.0,10000.0,3500.0,In-store,2021,9,3,35.0
Sports Direct,1185732,2021-12-06,Northeast,New Jersey,Newark,Men's Athletic Footwear,50.0,350.0,17500.0,6125.0,In-store,2021,12,4,35.0
West Gear,1185732,2021-03-10,West,Utah,Salt Lake City,Women's Street Footwear,18.0,112.0,202.0,101.0,Online,2021,3,1,50.0
Foot Locker,1128299,2021-07-23,Southeast,Virginia,Richmond,Women's Street Footwear,90.0,650.0,58500.0,20475.0,In-store,2021,7,3,35.0
Sports Direct,1197831,2021-03-30,South,Tennessee,Knoxville,Women's Street Footwear,15.0,170.0,255.0,112.0,Outlet,2021,3,1,43.92156862745098
Amazon,1185732,2021-08-18,Northeast,New Hampshire,Manchester,Women's Street Footwear,52.0,105.0,546.0,246.0,Online,2021,8,3,45.05494505494506
Sports Direct,1185732,2021-02-15,Northeast,Massachusetts,Boston,Men's Apparel,48.0,41.0,197.0,75.0,Online,2021,2,1,38.07106598984771
Kohl's,1128299,2021-08-26,West,New Mexico,Albuquerque,Women's Street Footwear,60.0,525.0,31500.0,11025.0,Online,2021,8,3,35.0
Kohl's,1185732,2021-01-10,Northeast,Delaware,Wilmington,Men's Street Footwear,32.0,138.0,442.0,221.0,Online,2021,1,1,50.0
Foot Locker,1128299,2021-03-09,West,Hawaii,Honolulu,Women's Street Footwear,57.0,101.0,576.0,225.0,Online,2021,3,1,39.0625
Walmart,1128299,2021-10-10,West,Hawaii,Honolulu,Women's Street Footwear,56.0,87.0,487.0,171.0,Online,2021,10,4,35.1129363449692
West Gear,1185732,2021-04-11,West,Utah,Salt Lake City,Women's Street Footwear,15.0,325.0,4875.0,1706.0,In-store,2021,4,2,34.9948717948718
Sports Direct,1185732,2021-05-10,Midwest,North Dakota,Fargo,Men's Apparel,50.0,125.0,6250.0,2188.0,In-store,2021,5,2,35.008
West Gear,1128299,2021-02-12,West,California,San Francisco,Men's Athletic Footwear,60.0,975.0,58500.0,8775.0,Outlet,2021,2,1,15.0
West Gear,1128299,2021-02-04,West,California,San Francisco,Women's Apparel,70.0,700.0,49000.0,4900.0,Outlet,2021,2,1,10.0
West Gear,1185732,2021-09-11,Midwest,Indiana,Indianapolis,Women's Street Footwear,25.0,175.0,4375.0,1531.0,In-store,2021,9,3,34.994285714285716
Sports Direct,1185732,2021-03-13,Northeast,Massachusetts,Boston,Women's Athletic Footwear,34.0,87.0,296.0,106.0,Online,2021,3,1,35.810810810810814
West Gear,1185732,2021-10-03,Midwest,Wisconsin,Milwaukee,Men's Apparel,44.0,33.0,145.0,91.0,Online,2021,10,4,62.758620689655174
Amazon,1185732,2021-12-13,Northeast,Massachusetts,Boston,Women's Street Footwear,55.0,350.0,19250.0,4813.0,In-store,2021,12,4,25.002597402597402
West Gear,1128299,2021-04-24,West,Oregon,Portland,Men's Street Footwear,55.0,475.0,26125.0,9144.0,In-store,2021,4,2,35.000956937799046
Sports Direct,1185732,2021-10-15,Northeast,Massachusetts,Boston,Men's Apparel,65.0,100.0,6500.0,1625.0,In-store,2021,10,4,25.0
Amazon,1185732,2021-08-10,Midwest,Ohio,Columbus,Men's Athletic Footwear,58.0,195.0,1131.0,520.0,Online,2021,8,3,45.97701149425287
Amazon,1185732,2021-08-11,Northeast,Vermont,Burlington,Women's Street Footwear,50.0,350.0,17500.0,6125.0,In-store,2021,8,3,35.0
Foot Locker,1197831,2021-02-04,West,Idaho,Boise,Women's Athletic Footwear,32.0,109.0,349.0,188.0,Online,2021,2,1,53.86819484240688
Sports Direct,1197831,2021-09-23,South,Alabama,Birmingham,Women's Apparel,26.0,190.0,494.0,356.0,Outlet,2021,9,3,72.06477732793523
West Gear,1128299,2021-03-16,South,Louisiana,New Orleans,Women's Apparel,41.0,95.0,390.0,175.0,Online,2021,3,1,44.871794871794876
Foot Locker,1185732,2021-04-12,Midwest,South Dakota,Sioux Falls,Women's Apparel,50.0,225.0,11250.0,4500.0,Online,2021,4,2,40.0
Foot Locker,1185732,2021-07-18,Midwest,Illinois,Chicago,Men's Street Footwear,50.0,500.0,25000.0,10000.0,Outlet,2021,7,3,40.0
Amazon,1185732,2021-10-22,West,Alaska,Anchorage,Men's Street Footwear,70.0,450.0,31500.0,11025.0,Outlet,2021,10,4,35.0
Kohl's,1185732,2021-03-10,West,Wyoming,Cheyenne,Men's Athletic Footwear,40.0,525.0,21000.0,6300.0,In-store,2021,3,1,30.0
Sports Direct,1185732,2021-11-16,Midwest,Michigan,Detroit,Women's Athletic Footwear,41.0,138.0,566.0,277.0,Online,2021,11,4,48.93992932862191
Amazon,1185732,2021-10-26,Northeast,Maine,Portland,Women's Street Footwear,30.0,200.0,6000.0,2400.0,Outlet,2021,10,4,40.0
Kohl's,1189833,2021-02-07,Midwest,Montana,Billings,Women's Apparel,60.0,475.0,28500.0,7125.0,Outlet,2021,2,1,25.0
Sports Direct,1197831,2021-08-27,South,Alabama,Birmingham,Women's Street Footwear,11.0,190.0,209.0,109.0,Outlet,2021,8,3,52.15311004784689
Amazon,1185732,2021-12-09,Midwest,Ohio,Columbus,Men's Athletic Footwear,60.0,181.0,1086.0,510.0,Online,2021,12,4,46.96132596685083
Sports Direct,1185732,2021-05-03,Northeast,Connecticut,Hartford,Men's Street Footwear,54.0,142.0,767.0,391.0,Online,2021,5,2,50.97783572359843
Kohl's,1189833,2021-01-15,Midwest,Montana,Billings,Men's Street Footwear,44.0,161.0,708.0,418.0,Online,2021,1,1,59.03954802259888
Kohl's,1185732,2021-01-14,Northeast,New York,Albany,Men's Athletic Footwear,40.0,600.0,24000.0,7200.0,In-store,2021,1,1,30.0
Sports Direct,1185732,2021-10-09,Midwest,North Dakota,Fargo,Men's Athletic Footwear,40.0,250.0,10000.0,3000.0,In-store,2021,10,4,30.0
Foot Locker,1128299,2021-08-24,Southeast,Virginia,Richmond,Women's Street Footwear,70.0,650.0,45500.0,15925.0,In-store,2021,8,3,35.0
Kohl's,1197831,2021-01-16,South,Oklahoma,Oklahoma City,Women's Athletic Footwear,19.0,56.0,106.0,52.0,Online,2021,1,1,49.056603773584904
Sports Direct,1185732,2021-10-08,Northeast,Rhode Island,Providence,Women's Apparel,64.0,58.0,371.0,189.0,Online,2021,10,4,50.943396226415096
West Gear,1197831,2021-06-21,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,25.0,123.0,308.0,120.0,Outlet,2021,6,2,38.961038961038966
Sports Direct,1128299,2021-02-13,Southeast,Georgia,Atlanta,Women's Athletic Footwear,40.0,250.0,10000.0,4000.0,Online,2021,2,1,40.0
Walmart,1197831,2021-08-20,South,Arkansas,Little Rock,Women's Street Footwear,47.0,126.0,592.0,308.0,Online,2021,8,3,52.02702702702703
Amazon,1185732,2021-02-22,West,Alaska,Anchorage,Men's Street Footwear,51.0,173.0,882.0,415.0,Online,2021,2,1,47.05215419501133
Sports Direct,1128299,2021-12-12,Southeast,Georgia,Atlanta,Men's Athletic Footwear,58.0,189.0,1096.0,581.0,Online,2021,12,4,53.01094890510949
Sports Direct,1185732,2021-01-17,Northeast,Rhode Island,Providence,Men's Athletic Footwear,38.0,68.0,258.0,114.0,Online,2021,1,1,44.18604651162791
Amazon,1185732,2021-12-30,Northeast,Maine,Portland,Women's Athletic Footwear,42.0,36.0,151.0,68.0,Online,2021,12,4,45.033112582781456
Kohl's,1185732,2021-11-11,West,Wyoming,Cheyenne,Men's Street Footwear,55.0,750.0,41250.0,20625.0,In-store,2021,11,4,50.0
Foot Locker,1185732,2021-10-15,Northeast,Delaware,Wilmington,Women's Street Footwear,50.0,52.0,260.0,143.0,Online,2021,10,4,55.00000000000001
Sports Direct,1128299,2021-05-14,Southeast,Georgia,Atlanta,Men's Street Footwear,37.0,187.0,692.0,318.0,Outlet,2021,5,2,45.95375722543353
Amazon,1185732,2021-05-17,Northeast,New Hampshire,Manchester,Women's Street Footwear,55.0,325.0,17875.0,5363.0,In-store,2021,5,2,30.002797202797204
Sports Direct,1185732,2021-07-20,Northeast,Maryland,Baltimore,Women's Athletic Footwear,36.0,45.0,162.0,76.0,Online,2021,7,3,46.913580246913575
Kohl's,1197831,2021-03-12,Midwest,Kansas,Wichita,Women's Apparel,23.0,65.0,150.0,75.0,Online,2021,3,1,50.0
Sports Direct,1185732,2021-03-13,Northeast,Massachusetts,Boston,Men's Apparel,36.0,31.0,112.0,33.0,Outlet,2021,3,1,29.464285714285715
Foot Locker,1128299,2021-11-24,Southeast,Virginia,Richmond,Men's Apparel,56.0,136.0,762.0,335.0,Outlet,2021,11,4,43.963254593175854
Foot Locker,1185732,2021-01-17,Northeast,Maryland,Baltimore,Women's Athletic Footwear,32.0,47.0,150.0,83.0,Online,2021,1,1,55.333333333333336
Foot Locker,1185732,2021-12-03,Northeast,Connecticut,Hartford,Men's Apparel,42.0,99.0,416.0,146.0,Outlet,2021,12,4,35.09615384615385
Foot Locker,1197831,2021-12-04,West,Idaho,Boise,Women's Apparel,47.0,232.0,1090.0,665.0,Outlet,2021,12,4,61.00917431192661
Foot Locker,1185732,2021-03-16,South,Mississippi,Jackson,Men's Street Footwear,20.0,223.0,446.0,205.0,Outlet,2021,3,1,45.964125560538115
Kohl's,1197831,2021-07-12,Midwest,Kansas,Wichita,Women's Apparel,60.0,140.0,840.0,412.0,Online,2021,7,3,49.047619047619044
Foot Locker,1185732,2021-07-06,Northeast,Rhode Island,Providence,Men's Street Footwear,50.0,575.0,28750.0,10063.0,In-store,2021,7,3,35.001739130434785
Foot Locker,1185732,2021-10-15,Northeast,Delaware,Wilmington,Men's Street Footwear,56.0,128.0,717.0,323.0,Online,2021,10,4,45.04881450488145
Sports Direct,1185732,2021-02-05,Northeast,New Jersey,Newark,Men's Athletic Footwear,40.0,200.0,8000.0,3200.0,In-store,2021,2,1,40.0
Sports Direct,1197831,2021-09-29,South,Texas,Dallas,Men's Athletic Footwear,55.0,675.0,37125.0,14850.0,Outlet,2021,9,3,40.0
Foot Locker,1185732,2021-02-18,Midwest,Michigan,Detroit,Women's Street Footwear,20.0,375.0,7500.0,2625.0,In-store,2021,2,1,35.0
Sports Direct,1185732,2021-09-03,Northeast,Connecticut,Hartford,Women's Apparel,54.0,83.0,448.0,220.0,Online,2021,9,3,49.107142857142854
Kohl's,1189833,2021-05-23,West,California,Los Angeles,Men's Apparel,46.0,204.0,938.0,535.0,Outlet,2021,5,2,57.0362473347548
Amazon,1185732,2021-12-02,Southeast,North Carolina,Charlotte,Women's Street Footwear,55.0,218.0,1199.0,611.0,Online,2021,12,4,50.95913261050876
Walmart,1197831,2021-07-19,South,Arkansas,Little Rock,Men's Street Footwear,39.0,271.0,1057.0,444.0,Outlet,2021,7,3,42.005676442762535
Foot Locker,1185732,2021-11-16,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,40.0,54.0,216.0,71.0,Outlet,2021,11,4,32.870370370370374
Sports Direct,1185732,2021-01-09,Midwest,South Dakota,Sioux Falls,Women's Street Footwear,25.0,275.0,6875.0,2063.0,Online,2021,1,1,30.007272727272728
Kohl's,1128299,2021-07-25,West,New Mexico,Albuquerque,Women's Athletic Footwear,39.0,149.0,581.0,244.0,Outlet,2021,7,3,41.996557659208264
Sports Direct,1185732,2021-12-11,Midwest,South Dakota,Sioux Falls,Women's Apparel,64.0,75.0,480.0,250.0,Online,2021,12,4,52.083333333333336
West Gear,1128299,2021-01-24,West,Utah,Salt Lake City,Men's Apparel,35.0,53.0,186.0,85.0,Outlet,2021,1,1,45.69892473118279
Walmart,1128299,2021-11-10,West,Hawaii,Honolulu,Men's Apparel,85.0,375.0,31875.0,4781.0,Outlet,2021,11,4,14.999215686274509
Kohl's,1189833,2021-01-07,Midwest,Montana,Billings,Men's Apparel,48.0,59.0,283.0,204.0,Online,2021,1,1,72.08480565371025
West Gear,1185732,2021-09-18,Northeast,West Virginia,Charleston,Men's Apparel,32.0,61.0,195.0,102.0,Online,2021,9,3,52.307692307692314
Kohl's,1128299,2021-10-26,West,New Mexico,Albuquerque,Women's Street Footwear,50.0,375.0,18750.0,6563.0,Online,2021,10,4,35.00266666666666
West Gear,1197831,2021-01-23,South,Arkansas,Little Rock,Men's Street Footwear,24.0,167.0,401.0,212.0,Online,2021,1,1,52.867830423940156
West Gear,1185732,2021-02-03,Midwest,Iowa,Des Moines,Women's Street Footwear,20.0,200.0,4000.0,1200.0,In-store,2021,2,1,30.0
Amazon,1185732,2021-06-22,West,Alaska,Anchorage,Men's Street Footwear,65.0,650.0,42250.0,14788.0,Outlet,2021,6,2,35.00118343195267
Kohl's,1189833,2021-05-22,West,California,Los Angeles,Women's Athletic Footwear,50.0,650.0,32500.0,11375.0,Outlet,2021,5,2,35.0
Sports Direct,1197831,2021-09-27,South,Texas,Dallas,Women's Apparel,43.0,240.0,1032.0,619.0,Outlet,2021,9,3,59.98062015503876
West Gear,1185732,2021-02-10,Midwest,Wisconsin,Milwaukee,Women's Street Footwear,25.0,250.0,6250.0,2188.0,In-store,2021,2,1,35.008
Foot Locker,1185732,2021-01-17,Northeast,Maryland,Baltimore,Men's Apparel,50.0,225.0,11250.0,3375.0,In-store,2021,1,1,30.0
Kohl's,1185732,2021-01-10,Northeast,Delaware,Wilmington,Men's Apparel,41.0,47.0,193.0,77.0,Online,2021,1,1,39.89637305699482
Sports Direct,1197831,2021-10-01,South,Texas,Dallas,Women's Athletic Footwear,41.0,135.0,554.0,304.0,Outlet,2021,10,4,54.87364620938629
Foot Locker,1185732,2021-04-06,Midwest,Iowa,Des Moines,Women's Athletic Footwear,15.0,28.0,42.0,19.0,Online,2021,4,2,45.23809523809524
Sports Direct,1197831,2021-11-05,West,Idaho,Boise,Women's Street Footwear,58.0,150.0,870.0,470.0,Online,2021,11,4,54.02298850574713
West Gear,1185732,2021-09-12,West,Utah,Salt Lake City,Men's Apparel,20.0,325.0,6500.0,2275.0,In-store,2021,9,3,35.0
Amazon,1185732,2021-08-10,Midwest,Ohio,Columbus,Men's Apparel,55.0,500.0,27500.0,9625.0,Online,2021,8,3,35.0
West Gear,1185732,2021-11-09,Northeast,New York,Albany,Women's Athletic Footwear,50.0,575.0,28750.0,8625.0,In-store,2021,11,4,30.0
Sports Direct,1185732,2021-12-11,Midwest,South Dakota,Sioux Falls,Women's Athletic Footwear,45.0,50.0,225.0,101.0,Online,2021,12,4,44.888888888888886
West Gear,1128299,2021-01-08,West,California,San Francisco,Women's Street Footwear,42.0,281.0,1180.0,531.0,Outlet,2021,1,1,45.0
Foot Locker,1185732,2021-01-09,Southeast,Georgia,Atlanta,Men's Street Footwear,40.0,1025.0,41000.0,18450.0,Online,2021,1,1,45.0
Sports Direct,1185732,2021-09-02,Southeast,North Carolina,Charlotte,Men's Apparel,38.0,156.0,593.0,273.0,Online,2021,9,3,46.0370994940978
Sports Direct,1185732,2021-08-21,Northeast,Maryland,Baltimore,Women's Street Footwear,40.0,200.0,8000.0,2800.0,In-store,2021,8,3,35.0
Amazon,1185732,2021-11-10,Midwest,Ohio,Columbus,Men's Street Footwear,34.0,169.0,575.0,299.0,Online,2021,11,4,52.0
Sports Direct,1185732,2021-07-08,Midwest,North Dakota,Fargo,Women's Apparel,54.0,98.0,529.0,286.0,Online,2021,7,3,54.06427221172023
Foot Locker,1185732,2021-06-05,Midwest,Illinois,Chicago,Women's Apparel,41.0,69.0,283.0,170.0,Online,2021,6,2,60.07067137809188
West Gear,1128299,2021-09-25,West,Oregon,Portland,Men's Street Footwear,34.0,149.0,507.0,187.0,Outlet,2021,9,3,36.883629191321496
Sports Direct,1185732,2021-03-03,Northeast,Connecticut,Hartford,Women's Apparel,38.0,73.0,277.0,136.0,Online,2021,3,1,49.09747292418773
Foot Locker,1185732,2021-12-31,Northeast,Pennsylvania,Philadelphia,Men's Apparel,46.0,56.0,258.0,100.0,Outlet,2021,12,4,38.759689922480625
Sports Direct,1185732,2021-08-14,Northeast,Massachusetts,Boston,Women's Apparel,58.0,91.0,528.0,238.0,Online,2021,8,3,45.07575757575758
Foot Locker,1185732,2021-08-01,Midwest,Illinois,Chicago,Women's Street Footwear,48.0,49.0,235.0,111.0,Online,2021,8,3,47.23404255319149
West Gear,1197831,2021-07-19,South,Oklahoma,Oklahoma City,Women's Apparel,61.0,142.0,866.0,468.0,Online,2021,7,3,54.04157043879908
Kohl's,1128299,2021-08-26,West,New Mexico,Albuquerque,Men's Street Footwear,60.0,700.0,42000.0,14700.0,Online,2021,8,3,35.0
Foot Locker,1185732,2021-10-12,Midwest,South Dakota,Sioux Falls,Women's Street Footwear,43.0,42.0,181.0,72.0,Online,2021,10,4,39.77900552486188
West Gear,1128299,2021-01-10,Northeast,Maine,Portland,Men's Street Footwear,33.0,98.0,323.0,113.0,Online,2021,1,1,34.984520123839005
Foot Locker,1128299,2021-08-23,West,Arizona,Phoenix,Men's Street Footwear,55.0,625.0,34375.0,12031.0,Online,2021,8,3,34.99927272727273
West Gear,1185732,2021-02-11,Midwest,Missouri,St. Louis,Men's Street Footwear,25.0,725.0,18125.0,7250.0,In-store,2021,2,1,40.0
Sports Direct,1197831,2021-09-19,South,Texas,Dallas,Women's Athletic Footwear,45.0,575.0,25875.0,12938.0,Outlet,2021,9,3,50.00193236714976
Kohl's,1197831,2021-04-13,Midwest,Kansas,Wichita,Women's Apparel,29.0,81.0,235.0,115.0,Online,2021,4,2,48.93617021276596
Sports Direct,1185732,2021-06-15,Northeast,Massachusetts,Boston,Women's Athletic Footwear,45.0,225.0,10125.0,2531.0,In-store,2021,6,2,24.997530864197532
Kohl's,1189833,2021-02-28,Midwest,Montana,Billings,Women's Street Footwear,37.0,123.0,455.0,259.0,Online,2021,2,1,56.92307692307692
Foot Locker,1185732,2021-10-24,South,Texas,Dallas,Women's Street Footwear,28.0,72.0,202.0,85.0,Outlet,2021,10,4,42.07920792079208
Walmart,1128299,2021-06-17,Southeast,Florida,Orlando,Women's Athletic Footwear,66.0,196.0,1294.0,479.0,Outlet,2021,6,2,37.01700154559505
Sports Direct,1128299,2021-05-14,Southeast,Georgia,Atlanta,Men's Athletic Footwear,52.0,108.0,562.0,292.0,Online,2021,5,2,51.95729537366548
Foot Locker,1185732,2021-10-08,Northeast,Rhode Island,Providence,Women's Street Footwear,45.0,29.0,131.0,68.0,Online,2021,10,4,51.908396946564885
Foot Locker,1185732,2021-07-13,Northeast,Delaware,Wilmington,Men's Athletic Footwear,47.0,119.0,559.0,252.0,Online,2021,7,3,45.08050089445438
Sports Direct,1185732,2021-08-03,Southeast,North Carolina,Charlotte,Men's Street Footwear,61.0,308.0,1879.0,996.0,Online,2021,8,3,53.00691857370941
Foot Locker,1185732,2021-11-21,Northeast,Maryland,Baltimore,Women's Apparel,65.0,225.0,14625.0,4388.0,In-store,2021,11,4,30.003418803418803
Foot Locker,1185732,2021-07-31,Midwest,Illinois,Chicago,Men's Athletic Footwear,46.0,65.0,299.0,141.0,Online,2021,7,3,47.15719063545151
Kohl's,1189833,2021-04-06,West,California,Los Angeles,Women's Apparel,41.0,188.0,771.0,270.0,Online,2021,4,2,35.019455252918284
Foot Locker,1185732,2021-02-12,Midwest,South Dakota,Sioux Falls,Men's Apparel,48.0,46.0,221.0,99.0,Online,2021,2,1,44.79638009049774
Sports Direct,1185732,2021-01-07,Northeast,New Jersey,Newark,Women's Apparel,37.0,81.0,300.0,150.0,Online,2021,1,1,50.0
West Gear,1185732,2021-10-03,Midwest,Wisconsin,Milwaukee,Women's Apparel,50.0,250.0,12500.0,5000.0,In-store,2021,10,4,40.0
Sports Direct,1128299,2021-02-17,Southeast,Florida,Orlando,Men's Apparel,44.0,62.0,273.0,65.0,Outlet,2021,2,1,23.809523809523807
Amazon,1185732,2021-06-22,Southeast,Kentucky,Louisville,Men's Athletic Footwear,35.0,275.0,9625.0,3369.0,Online,2021,6,2,35.0025974025974
Foot Locker,1185732,2021-12-04,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,44.0,102.0,449.0,188.0,Outlet,2021,12,4,41.87082405345212
West Gear,1197831,2021-07-06,West,Idaho,Boise,Men's Street Footwear,48.0,217.0,1042.0,521.0,Online,2021,7,3,50.0
Foot Locker,1185732,2021-07-05,Southeast,South Carolina,Charleston,Men's Apparel,65.0,800.0,52000.0,18200.0,Online,2021,7,3,35.0
Kohl's,1189833,2021-01-29,Midwest,Montana,Billings,Women's Street Footwear,44.0,165.0,726.0,399.0,Online,2021,1,1,54.958677685950406
Kohl's,1189833,2021-04-09,West,California,Los Angeles,Women's Street Footwear,50.0,625.0,31250.0,12500.0,Outlet,2021,4,2,40.0
Foot Locker,1185732,2021-04-12,Midwest,South Dakota,Sioux Falls,Men's Apparel,56.0,29.0,162.0,75.0,Online,2021,4,2,46.2962962962963
West Gear,1197831,2021-08-20,South,Oklahoma,Oklahoma City,Men's Street Footwear,60.0,675.0,40500.0,16200.0,Online,2021,8,3,40.0
West Gear,1197831,2021-11-20,South,Arkansas,Little Rock,Men's Street Footwear,18.0,176.0,317.0,146.0,Outlet,2021,11,4,46.05678233438486
Amazon,1185732,2021-07-20,West,Alaska,Anchorage,Men's Apparel,61.0,91.0,555.0,216.0,Online,2021,7,3,38.91891891891892
Foot Locker,1185732,2021-12-03,Northeast,Connecticut,Hartford,Men's Street Footwear,59.0,150.0,885.0,451.0,Online,2021,12,4,50.960451977401135
Amazon,1185732,2021-01-13,Southeast,North Carolina,Charlotte,Men's Apparel,44.0,128.0,563.0,282.0,Online,2021,1,1,50.08880994671403
Foot Locker,1185732,2021-07-27,Midwest,Illinois,Chicago,Women's Athletic Footwear,50.0,125.0,6250.0,2500.0,Outlet,2021,7,3,40.0
Foot Locker,1185732,2021-12-05,Southeast,South Carolina,Charleston,Men's Athletic Footwear,58.0,219.0,1270.0,572.0,Online,2021,12,4,45.03937007874016
Sports Direct,1185732,2021-07-02,Southeast,North Carolina,Charlotte,Women's Apparel,64.0,263.0,1683.0,1060.0,Online,2021,7,3,62.982768865121805
Sports Direct,1197831,2021-05-15,South,Tennessee,Knoxville,Men's Street Footwear,55.0,800.0,44000.0,19800.0,Outlet,2021,5,2,45.0
Foot Locker,1185732,2021-10-23,South,Texas,Dallas,Men's Athletic Footwear,34.0,68.0,231.0,90.0,Outlet,2021,10,4,38.961038961038966
Foot Locker,1185732,2021-06-02,Midwest,Nebraska,Omaha,Men's Street Footwear,38.0,122.0,464.0,250.0,Online,2021,6,2,53.879310344827594
Amazon,1185732,2021-02-22,West,Alaska,Anchorage,Men's Apparel,60.0,75.0,450.0,171.0,Online,2021,2,1,38.0
Sports Direct,1197831,2021-08-15,South,Alabama,Birmingham,Women's Street Footwear,30.0,450.0,13500.0,6075.0,Outlet,2021,8,3,45.0
Amazon,1185732,2021-01-13,Southeast,North Carolina,Charlotte,Men's Street Footwear,35.0,775.0,27125.0,10850.0,Online,2021,1,1,40.0
Amazon,1185732,2021-10-14,South,Alabama,Birmingham,Women's Street Footwear,23.0,83.0,191.0,80.0,Outlet,2021,10,4,41.8848167539267
Amazon,1185732,2021-01-21,Northeast,Vermont,Burlington,Women's Apparel,50.0,325.0,16250.0,5688.0,In-store,2021,1,1,35.003076923076925
Foot Locker,1185732,2021-06-15,Northeast,Delaware,Wilmington,Men's Street Footwear,55.0,650.0,35750.0,12513.0,In-store,2021,6,2,35.001398601398606
Kohl's,1189833,2021-03-18,West,California,Los Angeles,Women's Apparel,32.0,208.0,666.0,173.0,Outlet,2021,3,1,25.975975975975974
Foot Locker,1185732,2021-09-06,Northeast,Rhode Island,Providence,Women's Athletic Footwear,40.0,100.0,4000.0,1600.0,In-store,2021,9,3,40.0
Foot Locker,1185732,2021-12-17,Northeast,New Hampshire,Manchester,Men's Athletic Footwear,65.0,425.0,27625.0,11050.0,Outlet,2021,12,4,40.0
Kohl's,1185732,2021-12-13,Northeast,Delaware,Wilmington,Men's Athletic Footwear,50.0,100.0,500.0,240.0,Online,2021,12,4,48.0
Walmart,1128299,2021-07-16,Southeast,Florida,Orlando,Men's Athletic Footwear,74.0,263.0,1946.0,545.0,Outlet,2021,7,3,28.00616649537513
West Gear,1185732,2021-08-03,Midwest,Wisconsin,Milwaukee,Women's Apparel,55.0,350.0,19250.0,7700.0,In-store,2021,8,3,40.0
Sports Direct,1197831,2021-09-27,South,Alabama,Birmingham,Women's Athletic Footwear,32.0,91.0,291.0,213.0,Online,2021,9,3,73.19587628865979
Amazon,1185732,2021-12-17,Northeast,Maine,Portland,Women's Apparel,70.0,300.0,21000.0,8400.0,Outlet,2021,12,4,40.0
Kohl's,1128299,2021-09-27,West,New Mexico,Albuquerque,Women's Apparel,59.0,133.0,785.0,282.0,Online,2021,9,3,35.92356687898089
Kohl's,1189833,2021-02-17,West,California,San Francisco,Men's Street Footwear,35.0,700.0,24500.0,9800.0,Outlet,2021,2,1,40.0
Foot Locker,1128299,2021-07-09,West,Hawaii,Honolulu,Men's Athletic Footwear,85.0,650.0,55250.0,11050.0,Outlet,2021,7,3,20.0
Sports Direct,1197831,2021-04-30,South,Tennessee,Knoxville,Women's Athletic Footwear,55.0,400.0,22000.0,12100.0,Outlet,2021,4,2,55.00000000000001
Foot Locker,1128299,2021-11-23,West,Arizona,Phoenix,Men's Athletic Footwear,50.0,525.0,26250.0,10500.0,Online,2021,11,4,40.0
Amazon,1185732,2021-12-20,West,Alaska,Anchorage,Men's Athletic Footwear,65.0,400.0,26000.0,9100.0,Outlet,2021,12,4,35.0
Kohl's,1197831,2021-08-13,Midwest,Kansas,Wichita,Women's Athletic Footwear,40.0,300.0,12000.0,4200.0,Online,2021,8,3,35.0
Sports Direct,1197831,2021-10-19,South,Texas,Dallas,Women's Athletic Footwear,65.0,575.0,37375.0,18688.0,Outlet,2021,10,4,50.00133779264214
Kohl's,1197831,2021-06-14,Midwest,Kansas,Wichita,Men's Athletic Footwear,32.0,94.0,301.0,144.0,Online,2021,6,2,47.840531561461795
Foot Locker,1185732,2021-11-21,Northeast,Maryland,Baltimore,Men's Street Footwear,58.0,88.0,510.0,281.0,Online,2021,11,4,55.09803921568628
West Gear,1185732,2021-07-10,West,Utah,Salt Lake City,Women's Athletic Footwear,25.0,425.0,10625.0,4250.0,In-store,2021,7,3,40.0
Kohl's,1189833,2021-01-27,Midwest,Montana,Billings,Men's Street Footwear,40.0,675.0,27000.0,12150.0,Outlet,2021,1,1,45.0
