Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method
Sports Direct,1197831,2021-09-23,South,Alabama,Birmingham,Women's Apparel,$26.00 ,190,494,$356 ,Outlet
West Gear,1128299,2021-03-16,South,Louisiana,New Orleans,Women's Apparel,$41.00 ,95,390,$175 ,Online
Foot Locker,1185732,2021-04-12,Midwest,South Dakota,Sioux Falls,Women's Apparel,$50.00 ,225,"11,250","$4,500 ",Online
Foot Locker,1185732,2021-07-18,Midwest,Illinois,Chicago,Men's Street Footwear,$50.00 ,500,"25,000","$10,000 ",Outlet
Amazon,1185732,2021-10-22,West,Alaska,Anchorage,Men's Street Footwear,$70.00 ,450,"31,500","$11,025 ",Outlet
Kohl's,1185732,2021-03-10,West,Wyoming,Cheyenne,Men's Athletic Footwear,$40.00 ,525,"21,000","$6,300 ",In-store
Sports Direct,1185732,2021-11-16,Midwest,Michigan,Detroit,Women's Athletic Footwear,$41.00 ,138,566,$277 ,Online
Amazon,1185732,2021-10-26,Northeast,Maine,Portland,Women's Street Footwear,$30.00 ,200,"6,000","$2,400 ",Outlet
Kohl's,1189833,2021-02-07,Midwest,Montana,Billings,Women's Apparel,$60.00 ,475,"28,500","$7,125 ",Outlet
Sports Direct,1197831,2021-08-27,South,Alabama,Birmingham,Women's Street Footwear,$11.00 ,190,209,$109 ,Outlet
Amazon,1185732,2021-12-09,Midwest,Ohio,Columbus,Men's Athletic Footwear,$60.00 ,181,"1,086",$510 ,Online
Sports Direct,1185732,2021-05-03,Northeast,Connecticut,Hartford,Men's Street Footwear,$54.00 ,142,767,$391 ,Online
Kohl's,1189833,2021-01-15,Midwest,Montana,Billings,Men's Street Footwear,$44.00 ,161,708,$418 ,Online
Kohl's,1185732,2021-01-14,Northeast,New York,Albany,Men's Athletic Footwear,$40.00 ,600,"24,000","$7,200 ",In-store
Sports Direct,1185732,2021-10-09,Midwest,North Dakota,Fargo,Men's Athletic Footwear,$40.00 ,250,"10,000","$3,000 ",In-store
Foot Locker,1128299,2021-08-24,Southeast,Virginia,Richmond,Women's Street Footwear,$70.00 ,650,"45,500","$15,925 ",In-store
Kohl's,1197831,2021-01-16,South,Oklahoma,Oklahoma City,Women's Athletic Footwear,$19.00 ,56,106,$52 ,Online
Sports Direct,1185732,2021-10-08,Northeast,Rhode Island,Providence,Women's Apparel,$64.00 ,58,371,$189 ,Online
West Gear,1197831,2021-06-21,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,$25.00 ,123,308,$120 ,Outlet
Sports Direct,1128299,2021-02-13,Southeast,Georgia,Atlanta,Women's Athletic Footwear,$40.00 ,250,"10,000","$4,000 ",Online
Walmart,1197831,2021-08-20,South,Arkansas,Little Rock,Women's Street Footwear,$47.00 ,126,592,$308 ,Online
Amazon,1185732,2021-02-22,West,Alaska,Anchorage,Men's Street Footwear,$51.00 ,173,882,$415 ,Online
Sports Direct,1128299,2021-12-12,Southeast,Georgia,Atlanta,Men's Athletic Footwear,$58.00 ,189,"1,096",$581 ,Online
Sports Direct,1185732,2021-01-17,Northeast,Rhode Island,Providence,Men's Athletic Footwear,$38.00 ,68,258,$114 ,Online
Amazon,1185732,2021-12-30,Northeast,Maine,Portland,Women's Athletic Footwear,$42.00 ,36,151,$68 ,Online
Kohl's,1185732,2021-11-11,West,Wyoming,Cheyenne,Men's Street Footwear,$55.00 ,750,"41,250","$20,625 ",In-store
Foot Locker,1185732,2021-10-15,Northeast,Delaware,Wilmington,Women's Street Footwear,$50.00 ,52,260,$143 ,Online
Sports Direct,1128299,2021-05-14,Southeast,Georgia,Atlanta,Men's Street Footwear,$37.00 ,187,692,$318 ,Outlet
Amazon,1185732,2021-05-17,Northeast,New Hampshire,Manchester,Women's Street Footwear,$55.00 ,325,"17,875","$5,363 ",In-store
Sports Direct,1185732,2021-07-20,Northeast,Maryland,Baltimore,Women's Athletic Footwear,$36.00 ,45,162,$76 ,Online
Kohl's,1197831,2021-03-12,Midwest,Kansas,Wichita,Women's Apparel,$23.00 ,65,150,$75 ,Online
Sports Direct,1185732,2021-03-13,Northeast,Massachusetts,Boston,Men's Apparel,$36.00 ,31,112,$33 ,Outlet
Foot Locker,1128299,2021-11-24,Southeast,Virginia,Richmond,Men's Apparel,$56.00 ,136,762,$335 ,Outlet
Foot Locker,1185732,2021-01-17,Northeast,Maryland,Baltimore,Women's Athletic Footwear,$32.00 ,47,150,$83 ,Online
Foot Locker,1185732,2021-12-03,Northeast,Connecticut,Hartford,Men's Apparel,$42.00 ,99,416,$146 ,Outlet
Foot Locker,1197831,2021-12-04,West,Idaho,Boise,Women's Apparel,$47.00 ,232,"1,090",$665 ,Outlet
Foot Locker,1185732,2021-03-16,South,Mississippi,Jackson,Men's Street Footwear,$20.00 ,223,446,$205 ,Outlet
Kohl's,1197831,2021-07-12,Midwest,Kansas,Wichita,Women's Apparel,$60.00 ,140,840,$412 ,Online
Foot Locker,1185732,2021-07-06,Northeast,Rhode Island,Providence,Men's Street Footwear,$50.00 ,575,"28,750","$10,063 ",In-store
Foot Locker,1185732,2021-10-15,Northeast,Delaware,Wilmington,Men's Street Footwear,$56.00 ,128,717,$323 ,Online
Sports Direct,1185732,2021-02-05,Northeast,New Jersey,Newark,Men's Athletic Footwear,$40.00 ,200,"8,000","$3,200 ",In-store
Sports Direct,1197831,2021-09-29,South,Texas,Dallas,Men's Athletic Footwear,$55.00 ,675,"37,125","$14,850 ",Outlet
Foot Locker,1185732,2021-02-18,Midwest,Michigan,Detroit,Women's Street Footwear,$20.00 ,375,"7,500","$2,625 ",In-store
Sports Direct,1185732,2021-09-03,Northeast,Connecticut,Hartford,Women's Apparel,$54.00 ,83,448,$220 ,Online
Kohl's,1189833,2021-05-23,West,California,Los Angeles,Men's Apparel,$46.00 ,204,938,$535 ,Outlet
Amazon,1185732,2021-12-02,Southeast,North Carolina,Charlotte,Women's Street Footwear,$55.00 ,218,"1,199",$611 ,Online
Walmart,1197831,2021-07-19,South,Arkansas,Little Rock,Men's Street Footwear,$39.00 ,271,"1,057",$444 ,Outlet
Foot Locker,1185732,2021-11-16,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,$40.00 ,54,216,$71 ,Outlet
Sports Direct,1185732,2021-01-09,Midwest,South Dakota,Sioux Falls,Women's Street Footwear,$25.00 ,275,"6,875","$2,063 ",Online
Kohl's,1128299,2021-07-25,West,New Mexico,Albuquerque,Women's Athletic Footwear,$39.00 ,149,581,$244 ,Outlet
Sports Direct,1185732,2021-12-11,Midwest,South Dakota,Sioux Falls,Women's Apparel,$64.00 ,75,480,$250 ,Online
West Gear,1128299,2021-01-24,West,Utah,Salt Lake City,Men's Apparel,$35.00 ,53,186,$85 ,Outlet
Walmart,1128299,2021-11-10,West,Hawaii,Honolulu,Men's Apparel,$85.00 ,375,"31,875","$4,781 ",Outlet
Kohl's,1189833,2021-01-07,Midwest,Montana,Billings,Men's Apparel,$48.00 ,59,283,$204 ,Online
West Gear,1185732,2021-09-18,Northeast,West Virginia,Charleston,Men's Apparel,$32.00 ,61,195,$102 ,Online
Kohl's,1128299,2021-10-26,West,New Mexico,Albuquerque,Women's Street Footwear,$50.00 ,375,"18,750","$6,563 ",Online
West Gear,1197831,2021-01-23,South,Arkansas,Little Rock,Men's Street Footwear,$24.00 ,167,401,$212 ,Online
West Gear,1185732,2021-02-03,Midwest,Iowa,Des Moines,Women's Street Footwear,$20.00 ,200,"4,000","$1,200 ",In-store
Amazon,1185732,2021-06-22,West,Alaska,Anchorage,Men's Street Footwear,$65.00 ,650,"42,250","$14,788 ",Outlet
Kohl's,1189833,2021-05-22,West,California,Los Angeles,Women's Athletic Footwear,$50.00 ,650,"32,500","$11,375 ",Outlet
Sports Direct,1197831,2021-09-27,South,Texas,Dallas,Women's Apparel,$43.00 ,240,"1,032",$619 ,Outlet
West Gear,1185732,2021-02-10,Midwest,Wisconsin,Milwaukee,Women's Street Footwear,$25.00 ,250,"6,250","$2,188 ",In-store
Foot Locker,1185732,2021-01-17,Northeast,Maryland,Baltimore,Men's Apparel,$50.00 ,225,"11,250","$3,375 ",In-store
Kohl's,1185732,2021-01-10,Northeast,Delaware,Wilmington,Men's Apparel,$41.00 ,47,193,$77 ,Online
Sports Direct,1197831,2021-10-01,South,Texas,Dallas,Women's Athletic Footwear,$41.00 ,135,554,$304 ,Outlet
Foot Locker,1185732,2021-04-06,Midwest,Iowa,Des Moines,Women's Athletic Footwear,$15.00 ,28,42,$19 ,Online
Sports Direct,1197831,2021-11-05,West,Idaho,Boise,Women's Street Footwear,$58.00 ,150,870,$470 ,Online
West Gear,1185732,2021-09-12,West,Utah,Salt Lake City,Men's Apparel,$20.00 ,325,"6,500","$2,275 ",In-store
Amazon,1185732,2021-08-10,Midwest,Ohio,Columbus,Men's Apparel,$55.00 ,500,"27,500","$9,625 ",Online
West Gear,1185732,2021-11-09,Northeast,New York,Albany,Women's Athletic Footwear,$50.00 ,575,"28,750","$8,625 ",In-store
Sports Direct,1185732,2021-12-11,Midwest,South Dakota,Sioux Falls,Women's Athletic Footwear,$45.00 ,50,225,$101 ,Online
West Gear,1128299,2021-01-08,West,California,San Francisco,Women's Street Footwear,$42.00 ,281,"1,180",$531 ,Outlet
Foot Locker,1185732,2021-01-09,Southeast,Georgia,Atlanta,Men's Street Footwear,$40.00 ,"1,025","41,000","$18,450 ",Online
Sports Direct,1185732,2021-09-02,Southeast,North Carolina,Charlotte,Men's Apparel,$38.00 ,156,593,$273 ,Online
Sports Direct,1185732,2021-08-21,Northeast,Maryland,Baltimore,Women's Street Footwear,$40.00 ,200,"8,000","$2,800 ",In-store
Amazon,1185732,2021-11-10,Midwest,Ohio,Columbus,Men's Street Footwear,$34.00 ,169,575,$299 ,Online
Sports Direct,1185732,2021-07-08,Midwest,North Dakota,Fargo,Women's Apparel,$54.00 ,98,529,$286 ,Online
Foot Locker,1185732,2021-06-05,Midwest,Illinois,Chicago,Women's Apparel,$41.00 ,69,283,$170 ,Online
West Gear,1128299,2021-09-25,West,Oregon,Portland,Men's Street Footwear,$34.00 ,149,507,$187 ,Outlet
Sports Direct,1185732,2021-03-03,Northeast,Connecticut,Hartford,Women's Apparel,$38.00 ,73,277,$136 ,Online
Foot Locker,1185732,2021-12-31,Northeast,Pennsylvania,Philadelphia,Men's Apparel,$46.00 ,56,258,$100 ,Outlet
Sports Direct,1185732,2021-08-14,Northeast,Massachusetts,Boston,Women's Apparel,$58.00 ,91,528,$238 ,Online
Foot Locker,1185732,2021-08-01,Midwest,Illinois,Chicago,Women's Street Footwear,$48.00 ,49,235,$111 ,Online
West Gear,1197831,2021-07-19,South,Oklahoma,Oklahoma City,Women's Apparel,$61.00 ,142,866,$468 ,Online
Kohl's,1128299,2021-08-26,West,New Mexico,Albuquerque,Men's Street Footwear,$60.00 ,700,"42,000","$14,700 ",Online
Foot Locker,1185732,2021-10-12,Midwest,South Dakota,Sioux Falls,Women's Street Footwear,$43.00 ,42,181,$72 ,Online
West Gear,1128299,2021-01-10,Northeast,Maine,Portland,Men's Street Footwear,$33.00 ,98,323,$113 ,Online
Foot Locker,1128299,2021-08-23,West,Arizona,Phoenix,Men's Street Footwear,$55.00 ,625,"34,375","$12,031 ",Online
West Gear,1185732,2021-02-11,Midwest,Missouri,St. Louis,Men's Street Footwear,$25.00 ,725,"18,125","$7,250 ",In-store
Sports Direct,1197831,2021-09-19,South,Texas,Dallas,Women's Athletic Footwear,$45.00 ,575,"25,875","$12,938 ",Outlet
Kohl's,1197831,2021-04-13,Midwest,Kansas,Wichita,Women's Apparel,$29.00 ,81,235,$115 ,Online
Sports Direct,1185732,2021-06-15,Northeast,Massachusetts,Boston,Women's Athletic Footwear,$45.00 ,225,"10,125","$2,531 ",In-store
Kohl's,1189833,2021-02-28,Midwest,Montana,Billings,Women's Street Footwear,$37.00 ,123,455,$259 ,Online
Foot Locker,1185732,2021-10-24,South,Texas,Dallas,Women's Street Footwear,$28.00 ,72,202,$85 ,Outlet
Walmart,1128299,2021-06-17,Southeast,Florida,Orlando,Women's Athletic Footwear,$66.00 ,196,"1,294",$479 ,Outlet
Sports Direct,1128299,2021-05-14,Southeast,Georgia,Atlanta,Men's Athletic Footwear,$52.00 ,108,562,$292 ,Online
Foot Locker,1185732,2021-10-08,Northeast,Rhode Island,Providence,Women's Street Footwear,$45.00 ,29,131,$68 ,Online
Foot Locker,1185732,2021-07-13,Northeast,Delaware,Wilmington,Men's Athletic Footwear,$47.00 ,119,559,$252 ,Online
Sports Direct,1185732,2021-08-03,Southeast,North Carolina,Charlotte,Men's Street Footwear,$61.00 ,308,"1,879",$996 ,Online
Foot Locker,1185732,2021-11-21,Northeast,Maryland,Baltimore,Women's Apparel,$65.00 ,225,"14,625","$4,388 ",In-store
Foot Locker,1185732,2021-07-31,Midwest,Illinois,Chicago,Men's Athletic Footwear,$46.00 ,65,299,$141 ,Online
Kohl's,1189833,2021-04-06,West,California,Los Angeles,Women's Apparel,$41.00 ,188,771,$270 ,Online
Foot Locker,1185732,2021-02-12,Midwest,South Dakota,Sioux Falls,Men's Apparel,$48.00 ,46,221,$99 ,Online
Sports Direct,1185732,2021-01-07,Northeast,New Jersey,Newark,Women's Apparel,$37.00 ,81,300,$150 ,Online
West Gear,1185732,2021-10-03,Midwest,Wisconsin,Milwaukee,Women's Apparel,$50.00 ,250,"12,500","$5,000 ",In-store
Sports Direct,1128299,2021-02-17,Southeast,Florida,Orlando,Men's Apparel,$44.00 ,62,273,$65 ,Outlet
Amazon,1185732,2021-06-22,Southeast,Kentucky,Louisville,Men's Athletic Footwear,$35.00 ,275,"9,625","$3,369 ",Online
Foot Locker,1185732,2021-12-04,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,$44.00 ,102,449,$188 ,Outlet
West Gear,1197831,2021-07-06,West,Idaho,Boise,Men's Street Footwear,$48.00 ,217,"1,042",$521 ,Online
Foot Locker,1185732,2021-07-05,Southeast,South Carolina,Charleston,Men's Apparel,$65.00 ,800,"52,000","$18,200 ",Online
Kohl's,1189833,2021-01-29,Midwest,Montana,Billings,Women's Street Footwear,$44.00 ,165,726,$399 ,Online
Kohl's,1189833,2021-04-09,West,California,Los Angeles,Women's Street Footwear,$50.00 ,625,"31,250","$12,500 ",Outlet
Foot Locker,1185732,2021-04-12,Midwest,South Dakota,Sioux Falls,Men's Apparel,$56.00 ,29,162,$75 ,Online
West Gear,1197831,2021-08-20,South,Oklahoma,Oklahoma City,Men's Street Footwear,$60.00 ,675,"40,500","$16,200 ",Online
West Gear,1197831,2021-11-20,South,Arkansas,Little Rock,Men's Street Footwear,$18.00 ,176,317,$146 ,Outlet
Amazon,1185732,2021-07-20,West,Alaska,Anchorage,Men's Apparel,$61.00 ,91,555,$216 ,Online
Foot Locker,1185732,2021-12-03,Northeast,Connecticut,Hartford,Men's Street Footwear,$59.00 ,150,885,$451 ,Online
Amazon,1185732,2021-01-13,Southeast,North Carolina,Charlotte,Men's Apparel,$44.00 ,128,563,$282 ,Online
Foot Locker,1185732,2021-07-27,Midwest,Illinois,Chicago,Women's Athletic Footwear,$50.00 ,125,"6,250","$2,500 ",Outlet
Foot Locker,1185732,2021-12-05,Southeast,South Carolina,Charleston,Men's Athletic Footwear,$58.00 ,219,"1,270",$572 ,Online
Sports Direct,1185732,2021-07-02,Southeast,North Carolina,Charlotte,Women's Apparel,$64.00 ,263,"1,683","$1,060 ",Online
Sports Direct,1197831,2021-05-15,South,Tennessee,Knoxville,Men's Street Footwear,$55.00 ,800,"44,000","$19,800 ",Outlet
Foot Locker,1185732,2021-10-23,South,Texas,Dallas,Men's Athletic Footwear,$34.00 ,68,231,$90 ,Outlet
Foot Locker,1185732,2021-06-02,Midwest,Nebraska,Omaha,Men's Street Footwear,$38.00 ,122,464,$250 ,Online
Amazon,1185732,2021-02-22,West,Alaska,Anchorage,Men's Apparel,$60.00 ,75,450,$171 ,Online
Sports Direct,1197831,2021-08-15,South,Alabama,Birmingham,Women's Street Footwear,$30.00 ,450,"13,500","$6,075 ",Outlet
Amazon,1185732,2021-01-13,Southeast,North Carolina,Charlotte,Men's Street Footwear,$35.00 ,775,"27,125","$10,850 ",Online
Amazon,1185732,2021-10-14,South,Alabama,Birmingham,Women's Street Footwear,$23.00 ,83,191,$80 ,Outlet
Amazon,1185732,2021-01-21,Northeast,Vermont,Burlington,Women's Apparel,$50.00 ,325,"16,250","$5,688 ",In-store
Foot Locker,1185732,2021-06-15,Northeast,Delaware,Wilmington,Men's Street Footwear,$55.00 ,650,"35,750","$12,513 ",In-store
Kohl's,1189833,2021-03-18,West,California,Los Angeles,Women's Apparel,$32.00 ,208,666,$173 ,Outlet
Foot Locker,1185732,2021-09-06,Northeast,Rhode Island,Providence,Women's Athletic Footwear,$40.00 ,100,"4,000","$1,600 ",In-store
Foot Locker,1185732,2021-12-17,Northeast,New Hampshire,Manchester,Men's Athletic Footwear,$65.00 ,425,"27,625","$11,050 ",Outlet
Kohl's,1185732,2021-12-13,Northeast,Delaware,Wilmington,Men's Athletic Footwear,$50.00 ,100,500,$240 ,Online
Walmart,1128299,2021-07-16,Southeast,Florida,Orlando,Men's Athletic Footwear,$74.00 ,263,"1,946",$545 ,Outlet
West Gear,1185732,2021-08-03,Midwest,Wisconsin,Milwaukee,Women's Apparel,$55.00 ,350,"19,250","$7,700 ",In-store
Sports Direct,1197831,2021-09-27,South,Alabama,Birmingham,Women's Athletic Footwear,$32.00 ,91,291,$213 ,Online
Amazon,1185732,2021-12-17,Northeast,Maine,Portland,Women's Apparel,$70.00 ,300,"21,000","$8,400 ",Outlet
Kohl's,1128299,2021-09-27,West,New Mexico,Albuquerque,Women's Apparel,$59.00 ,133,785,$282 ,Online
Kohl's,1189833,2021-02-17,West,California,San Francisco,Men's Street Footwear,$35.00 ,700,"24,500","$9,800 ",Outlet
Foot Locker,1128299,2021-07-09,West,Hawaii,Honolulu,Men's Athletic Footwear,$85.00 ,650,"55,250","$11,050 ",Outlet
Sports Direct,1197831,2021-04-30,South,Tennessee,Knoxville,Women's Athletic Footwear,$55.00 ,400,"22,000","$12,100 ",Outlet
Foot Locker,1128299,2021-11-23,West,Arizona,Phoenix,Men's Athletic Footwear,$50.00 ,525,"26,250","$10,500 ",Online
Amazon,1185732,2021-12-20,West,Alaska,Anchorage,Men's Athletic Footwear,$65.00 ,400,"26,000","$9,100 ",Outlet
Kohl's,1197831,2021-08-13,Midwest,Kansas,Wichita,Women's Athletic Footwear,$40.00 ,300,"12,000","$4,200 ",Online
Sports Direct,1197831,2021-10-19,South,Texas,Dallas,Women's Athletic Footwear,$65.00 ,575,"37,375","$18,688 ",Outlet
Kohl's,1197831,2021-06-14,Midwest,Kansas,Wichita,Men's Athletic Footwear,$32.00 ,94,301,$144 ,Online
Foot Locker,1185732,2021-11-21,Northeast,Maryland,Baltimore,Men's Street Footwear,$58.00 ,88,510,$281 ,Online
West Gear,1185732,2021-07-10,West,Utah,Salt Lake City,Women's Athletic Footwear,$25.00 ,425,"10,625","$4,250 ",In-store
Kohl's,1189833,2021-01-27,Midwest,Montana,Billings,Men's Street Footwear,$40.00 ,675,"27,000","$12,150 ",Outlet
Walmart,1185732,2021-07-16,South,Mississippi,Jackson,Women's Athletic Footwear,$48.00 ,124,595,$315 ,Online
Sports Direct,1197831,2021-10-12,South,Texas,Dallas,Women's Street Footwear,$51.00 ,228,"1,163",$512 ,Outlet
Foot Locker,1185732,2021-05-16,South,Mississippi,Jackson,Women's Street Footwear,$26.00 ,136,354,$152 ,Outlet
Sports Direct,1185732,2021-08-14,Northeast,Massachusetts,Boston,Women's Athletic Footwear,$42.00 ,51,214,$77 ,Online
Sports Direct,1185732,2021-11-16,Midwest,Michigan,Detroit,Women's Apparel,$59.00 ,169,997,$688 ,Online
Sports Direct,1197831,2021-10-01,South,Alabama,Birmingham,Men's Athletic Footwear,$20.00 ,625,"12,500","$6,250 ",Outlet
Foot Locker,1185732,2021-04-06,Southeast,South Carolina,Charleston,Women's Athletic Footwear,$30.00 ,600,"18,000","$5,400 ",Online
Amazon,1185732,2021-07-21,Southeast,Kentucky,Louisville,Men's Apparel,$50.00 ,250,"12,500","$4,375 ",Online
Kohl's,1128299,2021-04-26,West,New Mexico,Albuquerque,Men's Street Footwear,$41.00 ,165,677,$284 ,Outlet
Foot Locker,1185732,2021-06-12,Midwest,South Dakota,Sioux Falls,Women's Apparel,$50.00 ,94,470,$249 ,Online
Sports Direct,1197831,2021-09-30,South,Texas,Dallas,Women's Street Footwear,$60.00 ,725,"43,500","$17,400 ",Outlet
Kohl's,1189833,2021-05-10,West,California,Los Angeles,Women's Athletic Footwear,$46.00 ,176,810,$405 ,Online
Foot Locker,1185732,2021-06-15,Northeast,Delaware,Wilmington,Men's Apparel,$55.00 ,300,"16,500","$4,950 ",In-store
Sports Direct,1185732,2021-08-04,Northeast,Connecticut,Hartford,Men's Street Footwear,$51.00 ,163,831,$457 ,Online
Kohl's,1128299,2021-11-26,West,New Mexico,Albuquerque,Women's Street Footwear,$54.00 ,117,632,$303 ,Online
West Gear,1185732,2021-07-02,Midwest,Wisconsin,Milwaukee,Men's Apparel,$50.00 ,200,"10,000","$5,000 ",In-store
Sports Direct,1128299,2021-12-25,West,New Mexico,Albuquerque,Women's Street Footwear,$60.00 ,500,"30,000","$10,500 ",Online
Sports Direct,1197831,2021-04-23,South,Tennessee,Knoxville,Women's Street Footwear,$46.00 ,285,"1,311",$787 ,Online
Foot Locker,1185732,2021-11-18,Northeast,New Hampshire,Manchester,Women's Apparel,$61.00 ,120,732,$300 ,Outlet
Amazon,1185732,2021-12-09,Midwest,Ohio,Columbus,Men's Street Footwear,$75.00 ,825,"61,875","$24,750 ",Online
West Gear,1185732,2021-07-08,Northeast,New York,Albany,Men's Athletic Footwear,$56.00 ,196,"1,098",$494 ,Online
Foot Locker,1185732,2021-11-07,Northeast,Pennsylvania,Philadelphia,Men's Apparel,$58.00 ,20,116,$46 ,Online
Sports Direct,1197831,2021-08-30,South,Texas,Dallas,Men's Athletic Footwear,$30.00 ,700,"21,000","$7,350 ",Outlet
Foot Locker,1185732,2021-09-19,Midwest,Missouri,St. Louis,Women's Apparel,$30.00 ,350,"10,500","$5,250 ",In-store
Sports Direct,1185732,2021-05-15,Midwest,Michigan,Detroit,Men's Street Footwear,$48.00 ,207,994,$606 ,Online
Foot Locker,1185732,2021-05-07,Midwest,Iowa,Des Moines,Men's Apparel,$45.00 ,150,"6,750","$3,375 ",In-store
Kohl's,1185732,2021-03-10,West,Wyoming,Cheyenne,Women's Street Footwear,$27.00 ,149,402,$181 ,Online
West Gear,1185732,2021-04-11,West,Utah,Salt Lake City,Men's Athletic Footwear,$25.00 ,325,"8,125","$2,844 ",In-store
Kohl's,1189833,2021-03-08,Midwest,Montana,Billings,Men's Apparel,$55.00 ,400,"22,000","$13,200 ",Outlet
Foot Locker,1185732,2021-06-24,Midwest,Nebraska,Omaha,Men's Apparel,$45.00 ,150,"6,750","$2,363 ",Outlet
West Gear,1128299,2021-03-16,South,Louisiana,New Orleans,Women's Apparel,$29.00 ,109,316,$117 ,Outlet
Foot Locker,1128299,2021-01-24,West,Wyoming,Cheyenne,Men's Athletic Footwear,$36.00 ,105,378,$174 ,Online
Kohl's,1128299,2021-12-22,West,Arizona,Phoenix,Women's Athletic Footwear,$32.00 ,128,410,$168 ,Outlet
Foot Locker,1185732,2021-10-22,Northeast,Maryland,Baltimore,Women's Apparel,$65.00 ,200,"13,000","$3,900 ",In-store
West Gear,1197831,2021-10-21,South,Oklahoma,Oklahoma City,Women's Street Footwear,$20.00 ,56,112,$57 ,Online
Walmart,1185732,2021-09-16,South,Mississippi,Jackson,Women's Apparel,$32.00 ,130,416,$258 ,Online
West Gear,1185732,2021-07-10,West,Utah,Salt Lake City,Women's Apparel,$40.00 ,600,"24,000","$12,000 ",In-store
Sports Direct,1185732,2021-02-05,Northeast,Connecticut,Hartford,Women's Athletic Footwear,$35.00 ,125,"4,375","$1,313 ",In-store
Kohl's,1185732,2021-01-14,Northeast,New York,Albany,Women's Street Footwear,$30.00 ,600,"18,000","$6,300 ",In-store
Foot Locker,1197831,2021-07-06,West,Idaho,Boise,Women's Apparel,$65.00 ,800,"52,000","$28,600 ",Online
West Gear,1185732,2021-06-22,Northeast,Maryland,Baltimore,Men's Street Footwear,$47.00 ,125,588,$294 ,Online
West Gear,1185732,2021-12-02,Midwest,Wisconsin,Milwaukee,Men's Athletic Footwear,$49.00 ,102,500,$235 ,Online
West Gear,1185732,2021-03-20,Northeast,Maryland,Baltimore,Men's Athletic Footwear,$34.00 ,39,133,$62 ,Online
Foot Locker,1185732,2021-08-07,Northeast,Rhode Island,Providence,Women's Apparel,$55.00 ,300,"16,500","$6,600 ",In-store
Foot Locker,1128299,2021-05-24,West,Arizona,Phoenix,Women's Apparel,$70.00 ,375,"26,250","$6,563 ",Online
West Gear,1128299,2021-01-03,West,California,San Francisco,Women's Athletic Footwear,$56.00 ,182,"1,019",$459 ,Online
West Gear,1128299,2021-06-24,West,Oregon,Portland,Men's Apparel,$67.00 ,140,938,$431 ,Outlet
West Gear,1197831,2021-08-20,South,Oklahoma,Oklahoma City,Men's Apparel,$47.00 ,81,381,$171 ,Online
Foot Locker,1185732,2021-12-15,Midwest,Michigan,Detroit,Men's Apparel,$55.00 ,143,787,$409 ,Online
Amazon,1185732,2021-06-19,Northeast,New Hampshire,Manchester,Men's Apparel,$65.00 ,325,"21,125","$6,338 ",In-store
Sports Direct,1197831,2021-08-10,South,Alabama,Birmingham,Women's Athletic Footwear,$32.00 ,98,314,$194 ,Online
Kohl's,1128299,2021-04-26,West,New Mexico,Albuquerque,Women's Athletic Footwear,$55.00 ,300,"16,500","$5,775 ",Online
Foot Locker,1185732,2021-12-03,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,$65.00 ,525,"34,125","$18,769 ",Outlet
Kohl's,1189833,2021-05-12,West,California,Los Angeles,Women's Apparel,$49.00 ,210,"1,029",$226 ,Outlet
Foot Locker,1185732,2021-10-15,Northeast,Delaware,Wilmington,Women's Athletic Footwear,$52.00 ,44,229,$114 ,Online
Kohl's,1128299,2021-01-26,West,Arizona,Phoenix,Women's Athletic Footwear,$30.00 ,101,303,$115 ,Outlet
West Gear,1185732,2021-06-22,Northeast,Maryland,Baltimore,Men's Street Footwear,$50.00 ,500,"25,000","$10,000 ",In-store
Kohl's,1197831,2021-01-16,South,Oklahoma,Oklahoma City,Men's Apparel,$28.00 ,88,246,$101 ,Outlet
Foot Locker,1185732,2021-01-18,Midwest,Michigan,Detroit,Women's Street Footwear,$20.00 ,425,"8,500","$2,975 ",In-store
Foot Locker,1185732,2021-12-17,Midwest,Missouri,St. Louis,Men's Athletic Footwear,$35.00 ,450,"15,750","$5,513 ",In-store
Kohl's,1185732,2021-02-12,West,Wyoming,Cheyenne,Women's Apparel,$40.00 ,600,"24,000","$6,000 ",In-store
Foot Locker,1128299,2021-01-24,West,Wyoming,Cheyenne,Men's Street Footwear,$29.00 ,91,264,$121 ,Online
Sports Direct,1197831,2021-04-10,South,Tennessee,Knoxville,Men's Athletic Footwear,$45.00 ,775,"34,875","$13,950 ",Outlet
Foot Locker,1128299,2021-08-24,Southeast,Virginia,Richmond,Men's Apparel,$64.00 ,106,678,$346 ,Online
Foot Locker,1197831,2021-12-04,West,Idaho,Boise,Women's Street Footwear,$47.00 ,223,"1,048",$461 ,Outlet
Amazon,1185732,2021-07-17,Northeast,New Hampshire,Manchester,Women's Street Footwear,$54.00 ,109,589,$241 ,Online
West Gear,1185732,2021-06-17,Northeast,West Virginia,Charleston,Women's Athletic Footwear,$33.00 ,69,228,$118 ,Online
